num_client_procs,num_warmup_clients_per_proc,num_clients_per_proc,jvm_heap_size,measurement_group_size,warmup_duration,warmup_timeout,warmup_sleep,duration,timeout,client_lag,state_machine,workload.num_keys,workload.size_mean,workload.size_std,workload.name,profiled,monitored,prometheus_scrape_interval,client_log_level,server_options.flush_every_n,server_log_level,latency.mean_ms,latency.median_ms,latency.min_ms,latency.max_ms,latency.p90_ms,latency.p95_ms,latency.p99_ms,start_throughput_1s.mean,start_throughput_1s.median,start_throughput_1s.min,start_throughput_1s.max,start_throughput_1s.p90,start_throughput_1s.p95,start_throughput_1s.p99
1,1,1,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,1,info,0.13328279994567432,0.123892,0.084287,2.469552,0.13913520000000001,0.15390859999999992,0.38887747999999994,15050.747064180607,15630.0,6240.0,16020.0,15920.0,15970.0,16000.0
1,10,10,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,1,info,0.16470592929250527,0.1557135,0.10958,12.847586,0.19787889999999997,0.21071635,0.25532539999999987,64782.59370012877,67710.0,44350.0,69620.0,69010.0,69400.0,69490.0
1,50,50,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,0.39745613196276136,0.386146,0.232165,11.187254,0.435893,0.465932,0.6097117999999999,116166.93014383415,116630.0,102260.0,120500.0,119280.0,119610.0,120060.0
1,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,0.6197569279263305,0.578229,0.335063,16.2471,0.799331,0.916347,1.1741332000000004,111673.12297921845,114930.0,62380.0,128020.0,123630.0,126210.0,127700.0
2,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,0.8032163988076061,0.802034,0.329899,13.907243,1.0139141999999999,1.0823766999999997,1.2857194200000002,168752.19076013038,202270.0,62440.0,215580.0,213100.0,214360.0,215360.0
3,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,1.1930596004354068,1.209935,0.189109,14.885284,1.7234872000000006,1.9628310999999998,2.4808282799999994,178184.03153789896,179520.0,110100.0,211790.0,209200.0,210230.0,211310.0
4,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,1.639181229520362,1.741742,0.338364,13.202023,2.2370154,2.6975207999999995,3.25173908,178005.1550790937,189940.0,108650.0,193730.0,192510.0,192970.0,193330.0
5,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,1.9850576289186825,2.151699,0.349782,22.21554,2.5199387,2.8902115999999998,3.90581652,188763.38695658572,202890.0,107390.0,212370.0,204860.0,207710.0,212140.0
6,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,2.6737375213168386,3.1329325,0.317616,16.373018,3.4562031,3.53056605,3.9865773099999995,167295.2882239867,175250.0,104910.0,215170.0,178430.0,204420.0,212810.0
7,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,2.850689666461623,3.24335,0.36241,23.134432,3.5206040000000005,3.5879489999999996,4.1144919600000005,188158.64403347092,200220.0,89500.0,213880.0,208900.0,213120.0,213610.0
8,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,3.1450879970662284,3.643414,0.33151,17.772128,3.9890928000000003,4.0625693,4.6917101199999784,190836.1820248033,199720.0,94460.0,203640.0,202630.0,203020.0,203310.0
11,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,4.829633874542081,5.6628925,0.386996,17.438541,6.0883389,6.188628249999999,6.500072309999995,176343.44273052775,184300.0,96960.0,202770.0,200010.0,201300.0,202040.0
14,100,100,12g,10,0:00:10,0:00:15,0:00:05,0:00:15,0:00:20,0:00:05,KeyValueStore,1,16,0,UniformSingleKeyWorkload,False,False,0:00:00.200000,info,25,info,5.927681280293074,6.790253,0.345788,24.305,7.288528,7.4094352500000005,11.902245099999973,183768.01829459608,193990.0,96340.0,199510.0,196340.0,196750.0,199000.0
